EmployeeID,Date,TimeIn,TimeOut,HoursWorked
1,01/01/2024,8:00,17:00,8
2,01/01/2024,8:00,17:00,8
3,01/01/2024,8:00,17:00,8
4,01/01/2024,8:00,18:32,9.53
5,01/01/2024,8:00,17:00,8
6,01/01/2024,8:00,17:00,8
7,01/01/2024,8:00,17:00,8
9,01/01/2024,8:00,17:00,8
10,01/01/2024,8:00,17:00,8
11,01/01/2024,8:00,17:00,8
12,01/01/2024,8:00,17:00,8
13,01/01/2024,8:00,17:00,8
14,01/01/2024,8:00,17:06,8.1
15,01/01/2024,8:00,17:00,8
16,01/01/2024,8:00,17:00,8
17,01/01/2024,8:00,17:00,8
18,01/01/2024,8:00,17:00,8
19,01/01/2024,8:00,18:41,9.68
20,01/01/2024,8:00,18:16,9.27
22,01/01/2024,8:00,17:00,8
23,01/01/2024,8:00,18:08,9.13
24,01/01/2024,8:00,17:00,8
25,01/01/2024,8:00,17:00,8
26,01/01/2024,8:00,17:00,8
27,01/01/2024,8:00,17:00,8
28,01/01/2024,8:00,17:00,8
29,01/01/2024,8:00,17:00,8
30,01/01/2024,8:00,17:00,8
31,01/01/2024,8:00,17:00,8
32,01/01/2024,8:00,17:00,8
33,01/01/2024,8:00,17:00,8
34,01/01/2024,8:00,17:43,8.72
35,01/01/2024,8:00,17:00,8
1,01/02/2024,8:00,17:00,8
2,01/02/2024,8:00,17:00,8
3,01/02/2024,8:00,17:00,8
4,01/02/2024,8:00,17:00,8
5,01/02/2024,8:00,17:00,8
6,01/02/2024,8:00,17:00,8
7,01/02/2024,8:00,18:20,9.33
8,01/02/2024,8:00,17:00,8
9,01/02/2024,8:00,17:00,8
10,01/02/2024,8:00,18:45,9.75
11,01/02/2024,8:00,17:00,8
12,01/02/2024,8:00,17:00,8
13,01/02/2024,8:00,17:00,8
15,01/02/2024,8:00,17:00,8
16,01/02/2024,8:00,17:00,8
18,01/02/2024,8:00,17:00,8
19,01/02/2024,8:00,17:00,8
20,01/02/2024,8:00,17:00,8
22,01/02/2024,8:00,18:32,9.53
24,01/02/2024,8:00,17:00,8
25,01/02/2024,8:00,17:00,8
26,01/02/2024,8:00,18:19,9.32
27,01/02/2024,8:00,17:00,8
28,01/02/2024,8:00,17:00,8
29,01/02/2024,8:00,17:00,8
30,01/02/2024,8:00,17:00,8
31,01/02/2024,8:00,17:00,8
32,01/02/2024,8:00,17:00,8
34,01/02/2024,8:00,17:00,8
35,01/02/2024,8:00,18:43,9.72
1,01/03/2024,8:00,17:00,8
2,01/03/2024,8:00,17:00,8
4,01/03/2024,8:00,17:00,8
5,01/03/2024,8:00,17:00,8
7,01/03/2024,8:00,17:00,8
8,01/03/2024,8:00,17:00,8
9,01/03/2024,8:00,17:00,8
10,01/03/2024,8:00,17:00,8
11,01/03/2024,8:00,17:14,8.23
12,01/03/2024,8:00,17:00,8
13,01/03/2024,8:00,17:00,8
14,01/03/2024,8:00,17:00,8
15,01/03/2024,8:00,17:07,8.12
16,01/03/2024,8:00,17:00,8
17,01/03/2024,8:00,17:00,8
19,01/03/2024,8:00,17:00,8
20,01/03/2024,8:00,17:00,8
21,01/03/2024,8:00,17:00,8
22,01/03/2024,8:00,17:00,8
23,01/03/2024,8:00,17:00,8
24,01/03/2024,8:00,17:00,8
25,01/03/2024,8:00,17:00,8
26,01/03/2024,8:00,17:00,8
28,01/03/2024,8:00,17:00,8
29,01/03/2024,8:00,18:47,9.78
31,01/03/2024,8:00,17:00,8
