EmployeeID,Date,TimeIn,TimeOut,HoursWorked
1,03/16/2024,08:00,17:00,8.00
2,03/16/2024,08:00,17:00,8.00
3,03/16/2024,08:00,17:00,8.00
4,03/16/2024,08:00,17:00,8.00
5,03/16/2024,08:00,17:00,8.00
6,03/16/2024,08:00,17:00,8.00
7,03/16/2024,08:00,17:00,8.00
8,03/16/2024,08:00,08:00,0.00
9,03/16/2024,08:00,08:00,0.00
10,03/16/2024,00:00,00:00,0.00
11,03/16/2024,08:00,17:00,8.00
12,03/16/2024,08:00,17:00,8.00
13,03/16/2024,08:00,17:00,8.00
14,03/16/2024,08:00,17:00,8.00
15,03/16/2024,08:00,17:00,8.00
16,03/16/2024,08:00,18:01,9.02
17,03/16/2024,08:00,17:00,8.00
18,03/16/2024,08:00,17:00,8.00
19,03/16/2024,08:00,18:19,9.32
20,03/16/2024,08:00,17:00,8.00
21,03/16/2024,08:00,18:48,9.80
22,03/16/2024,08:00,17:00,8.00
23,03/16/2024,08:00,17:00,8.00
24,03/16/2024,08:00,17:00,8.00
25,03/16/2024,08:00,17:00,8.00
26,03/16/2024,08:00,18:11,9.18
27,03/16/2024,08:00,17:00,8.00
28,03/16/2024,08:00,17:00,8.00
1,03/17/2024,08:00,17:00,8.00
2,03/17/2024,00:00,00:00,0.00
3,03/17/2024,08:00,17:00,8.00
4,03/17/2024,08:00,17:00,8.00
5,03/17/2024,08:00,17:00,8.00
6,03/17/2024,08:00,17:37,8.62
7,03/17/2024,08:00,17:00,8.00
8,03/17/2024,00:00,00:00,0.00
9,03/17/2024,08:00,17:00,8.00
10,03/17/2024,08:00,17:00,8.00
11,03/17/2024,08:00,17:00,8.00
12,03/17/2024,08:00,17:00,8.00
13,03/17/2024,08:00,18:35,9.58
14,03/17/2024,08:00,17:00,8.00
15,03/17/2024,08:00,17:00,8.00
16,03/17/2024,00:00,00:00,0.00
17,03/17/2024,08:00,17:00,8.00
18,03/17/2024,08:00,17:00,8.00
19,03/17/2024,00:00,00:00,0.00
20,03/17/2024,08:00,08:00,0.00
21,03/17/2024,08:00,17:00,8.00
22,03/17/2024,08:00,17:00,8.00
23,03/17/2024,08:00,17:00,8.00
24,03/17/2024,08:00,17:00,8.00
25,03/17/2024,08:00,17:00,8.00
26,03/17/2024,08:00,18:08,9.13
27,03/17/2024,08:00,17:00,8.00
28,03/17/2024,08:00,08:00,0.00
1,03/18/2024,08:00,17:00,8.00
2,03/18/2024,08:00,17:00,8.00
3,03/18/2024,08:00,17:00,8.00
4,03/18/2024,08:00,17:00,8.00
5,03/18/2024,08:00,17:00,8.00
6,03/18/2024,08:00,17:00,8.00
7,03/18/2024,08:00,17:00,8.00
8,03/18/2024,08:00,17:00,8.00
9,03/18/2024,08:00,17:00,8.00
10,03/18/2024,08:00,17:00,8.00
11,03/18/2024,08:00,17:00,8.00
12,03/18/2024,08:00,08:00,0.00
13,03/18/2024,08:00,17:00,8.00
14,03/18/2024,08:00,17:00,8.00
15,03/18/2024,08:00,17:00,8.00
16,03/18/2024,08:00,17:00,8.00
17,03/18/2024,08:00,17:00,8.00
18,03/18/2024,08:00,17:00,8.00
19,03/18/2024,08:00,17:00,8.00
20,03/18/2024,08:00,17:00,8.00
21,03/18/2024,08:00,17:00,8.00
22,03/18/2024,08:00,17:00,8.00
23,03/18/2024,08:00,17:00,8.00
24,03/18/2024,08:00,17:00,8.00
25,03/18/2024,08:00,17:00,8.00
26,03/18/2024,08:00,17:00,8.00
27,03/18/2024,08:00,17:16,8.27
28,03/18/2024,08:00,17:00,8.00
1,03/19/2024,08:00,17:00,8.00
2,03/19/2024,08:00,08:00,0.00
3,03/19/2024,08:00,08:00,0.00
4,03/19/2024,00:00,00:00,0.00
5,03/19/2024,08:00,17:00,8.00
6,03/19/2024,08:00,17:00,8.00
7,03/19/2024,08:00,17:00,8.00
8,03/19/2024,08:00,17:00,8.00
9,03/19/2024,08:00,17:00,8.00
10,03/19/2024,08:00,18:28,9.47
11,03/19/2024,08:00,17:00,8.00
12,03/19/2024,08:00,17:00,8.00
13,03/19/2024,08:00,08:00,0.00
14,03/19/2024,08:00,17:00,8.00
15,03/19/2024,08:00,17:00,8.00
16,03/19/2024,08:00,08:00,0.00
17,03/19/2024,08:00,17:00,8.00
18,03/19/2024,08:00,18:20,9.33
19,03/19/2024,08:00,17:32,8.53
20,03/19/2024,08:00,17:00,8.00
21,03/19/2024,08:00,17:00,8.00
22,03/19/2024,08:00,17:00,8.00
23,03/19/2024,08:00,17:00,8.00
24,03/19/2024,08:00,17:00,8.00
25,03/19/2024,08:00,08:00,0.00
26,03/19/2024,08:00,08:00,0.00
27,03/19/2024,08:00,17:00,8.00
28,03/19/2024,08:00,17:00,8.00
1,03/20/2024,08:00,18:46,9.77
2,03/20/2024,08:00,08:00,0.00
3,03/20/2024,00:00,00:00,0.00
4,03/20/2024,08:00,17:00,8.00
5,03/20/2024,08:00,17:00,8.00
6,03/20/2024,08:00,17:00,8.00
